STATION_ID,STATION_Name,STATION_PRO,STATION_TYPE,STATION_LNG,STATION_LAT,DATA_FROM_SOURCE
G0025330050040,黄田收费站,zhejiang,RAMP_PLAZA,118.941924,27.773365,0
G0025330010070,湖州北收费站,zhejiang,RAMP_PLAZA,120.031313,30.897931,0
G0025330020130,安仁收费站,zhejiang,RAMP_PLAZA,119.600061,29.686307,0
G1512330010020,奉化溪口东收费站,zhejiang,MAIN_LINE_PLAZA,121.338159,29.692287,0
G0015330060020,宁海北收费站,zhejiang,RAMP_PLAZA,121.426235,29.465449,0
G0025330020110,桐庐收费站,zhejiang,RAMP_PLAZA,119.717698,29.774009,0
S0014330020030,百丈收费站,zhejiang,MAIN_LINE_PLAZA,119.781496,30.470498,0
G0015330050020,鄞州东收费站,zhejiang,RAMP_PLAZA,121.735593,29.825161,0
G0025330040110,青田西收费站,zhejiang,RAMP_PLAZA,120.204242,28.261425,0
G0025330020200,航头收费站,zhejiang,RAMP_PLAZA,119.175015,29.328504,0
G0025330010110,长兴收费站,zhejiang,RAMP_PLAZA,119.948295,31.025655,0
G15W3330010020,塘溪收费站,zhejiang,RAMP_PLAZA,121.705097,29.680393,0
S0026330010070,歌山收费站,zhejiang,MAIN_LINE_PLAZA,120.397954,29.267618,0
S0026330010170,枫林收费站,zhejiang,MAIN_LINE_PLAZA,120.77115,28.299619,0
G0015330100090,前仓收费站,zhejiang,RAMP_PLAZA,120.097437,28.808245,0
G1501330010030,临江收费站,zhejiang,RAMP_PLAZA,121.655332,29.9428,0
G1512330010010,洞桥收费站,zhejiang,MAIN_LINE_PLAZA,121.395889,29.781012,0
G0015330010010,杭州北收费站,zhejiang,MAIN_LINE_PLAZA,120.250662,30.349997,0
S0026330010160,岩坦收费站,zhejiang,MAIN_LINE_PLAZA,120.723052,28.449218,0
S0010330020040,荆谷收费站,zhejiang,RAMP_PLAZA,120.500512,27.78244,0
S0014330010030,煤山北收费站,zhejiang,RAMP_PLAZA,119.682897,31.122478,0
S0009330030030,党湾收费站,zhejiang,RAMP_PLAZA,120.560064,30.235853,0
G0060330010080,屠甸收费站,zhejiang,RAMP_PLAZA,120.637897,30.576968,0
G0025330010090,长兴北收费站,zhejiang,RAMP_PLAZA,119.942161,31.108666,0
G0025330040120,青田东收费站,zhejiang,RAMP_PLAZA,120.360286,28.132746,0
G0050330010050,长兴西收费站,zhejiang,RAMP_PLAZA,119.854082,30.969643,0
G015W330010030,马家浜收费站,zhejiang,RAMP_PLAZA,120.706631,30.716345,0
G0025330020180,千岛湖收费站,zhejiang,MAIN_LINE_PLAZA,119.157113,29.599153,0
G0025330030030,云和东收费站,zhejiang,RAMP_PLAZA,119.675194,28.235707,0
G0025330030160,象溪收费站,zhejiang,RAMP_PLAZA,119.606528,28.367613,0
G0025330050060,浙闽收费站,zhejiang,PROVINCE_STATION_INDEPENDENT,118.900597,27.665226,0
G0003330010010,浙闽收费站,zhejiang,PROVINCE_STATION_INDEPENDENT,120.332725,27.460742,0
G015W330010010,凤桥收费站,zhejiang,RAMP_PLAZA,120.928809,30.633023,0
G0015330110080,平阳收费站,zhejiang,RAMP_PLAZA,120.550219,27.67273,0
G0025330030130,遂昌东收费站,zhejiang,RAMP_PLAZA,119.33079,28.601866,0
S0013330010050,雷甸收费站,zhejiang,RAMP_PLAZA,120.174011,30.493736,0
G0092330010010,杭州收费站,zhejiang,RAMP_PLAZA,120.227145,30.283182,0
G9211330010030,里钓收费站,zhejiang,RAMP_PLAZA,121.986737,30.0783,0
S0014330020060,瓶窑收费站,zhejiang,MAIN_LINE_PLAZA,119.966893,30.345156,0
G015W330040030,滨海新城南(沥海)收费站,zhejiang,RAMP_PLAZA,120.778932,30.112636,0
S0027330010020,西溪收费站,zhejiang,RAMP_PLAZA,120.222385,29.007896,0
G2501330010030,留下收费站,zhejiang,RAMP_PLAZA,120.044216,30.242141,0
G0060330010030,嘉善收费站,zhejiang,RAMP_PLAZA,120.951766,30.795663,0
S0004330010010,新街收费站,zhejiang,RAMP_PLAZA,120.359446,30.208321,0
G1512330010030,溪口西收费站,zhejiang,MAIN_LINE_PLAZA,121.234024,29.636592,0
G0056330010070,於潜收费站,zhejiang,RAMP_PLAZA,119.398269,30.175521,0
G0056330010130,青山湖收费站,zhejiang,RAMP_PLAZA,119.845956,30.251434,0
G0025330010010,南庄兜收费站,zhejiang,MAIN_LINE_PLAZA,120.119758,30.378002,0
G0025330030140,古市收费站,zhejiang,RAMP_PLAZA,119.395139,28.506049,0
G1512330020040,长乐收费站,zhejiang,RAMP_PLAZA,120.634145,29.449411,0
G0015330010030,胡家兜收费站,zhejiang,RAMP_PLAZA,120.451555,30.403113,0
S0012330010070,新塍收费站,zhejiang,RAMP_PLAZA,120.5967,30.814693,0
G060N330020040,林山收费站,zhejiang,RAMP_PLAZA,118.489841,29.122798,0
G060N330020010,上方收费站,zhejiang,RAMP_PLAZA,118.948245,29.229377,0
G0025330010120,德清北收费站,zhejiang,RAMP_PLAZA,120.062809,30.621984,0
G1512330030060,义亭收费站,zhejiang,RAMP_PLAZA,119.9617,29.220812,0
G0025330030120,遂昌收费站,zhejiang,RAMP_PLAZA,119.27671,28.626859,0
S0020330010010,灵峰收费站,zhejiang,MAIN_LINE_PLAZA,121.770145,29.885096,0
G0025330020020,袁富收费站,zhejiang,RAMP_PLAZA,120.10982,30.111667,0
G0025330020080,场口收费站,zhejiang,RAMP_PLAZA,119.870695,29.903876,0
G0025330040030,西田畈收费站,zhejiang,RAMP_PLAZA,119.871269,28.923296,0
G0060330020110,鞋塘收费站,zhejiang,RAMP_PLAZA,119.848143,29.223144,0
G060N330020070,杨林收费站,zhejiang,RAMP_PLAZA,118.152433,29.059809,0
G1512330030020,怀鲁收费站,zhejiang,RAMP_PLAZA,120.373776,29.343159,0
G0003330010060,衢州南收费站,zhejiang,RAMP_PLAZA,118.72635,28.867092,0
G0015330020010,平湖收费站,zhejiang,RAMP_PLAZA,120.982016,30.67766,0
G0025330020220,富阳收费站,zhejiang,RAMP_PLAZA,119.955654,30.002734,0
G0015330010060,南北湖收费站,zhejiang,RAMP_PLAZA,120.86608,30.507522,0
G15W3330010050,象山收费站,zhejiang,RAMP_PLAZA,121.813769,29.475214,0
S0026330010050,璜山收费站,zhejiang,MAIN_LINE_PLAZA,120.325145,29.585593,0
G0025330030020,碧湖收费站,zhejiang,RAMP_PLAZA,119.792443,28.325095,0
G0060330020230,浦阳收费站,zhejiang,RAMP_PLAZA,120.245444,29.964883,0
S0024330010020,绍兴高新区收费站,zhejiang,RAMP_PLAZA,120.745018,30.001996,0
G0015330010020,临平收费站,zhejiang,RAMP_PLAZA,120.326609,30.371226,0
G0025330010020,良渚收费站,zhejiang,RAMP_PLAZA,120.068526,30.362718,0
G1512330030010,蔡宅收费站,zhejiang,RAMP_PLAZA,120.457867,29.385593,0
S0024330010040,平水收费站,zhejiang,RAMP_PLAZA,120.641511,29.933241,0
S0014330020040,黄湖收费站,zhejiang,MAIN_LINE_PLAZA,119.824353,30.44405,0
G015W330020010,南湖(嘉兴南)收费站,zhejiang,MAIN_LINE_PLAZA,120.762237,30.683028,0
G0060330020200,常山收费站,zhejiang,RAMP_PLAZA,118.507268,28.921996,0
G0015330100050,仙居收费站,zhejiang,RAMP_PLAZA,120.707961,28.831453,0
G0056330010050,昌化收费站,zhejiang,RAMP_PLAZA,119.227366,30.165902,0
G0056330010150,杭州西收费站,zhejiang,RAMP_PLAZA,120.034502,30.239176,0
G0050330010010,浙苏收费站,zhejiang,PROVINCE_STATION_COMMON,120.430508,30.903742,0
G1512330030040,义乌东收费站,zhejiang,RAMP_PLAZA,120.145611,29.303036,0
G0025330010080,长兴南收费站,zhejiang,RAMP_PLAZA,119.952072,30.986255,0
G0015330110110,观美收费站,zhejiang,RAMP_PLAZA,120.35447,27.473982,0
G0003330010020,廿八都收费站,zhejiang,RAMP_PLAZA,118.481292,28.298509,0
G2501330010110,许村南收费站,zhejiang,RAMP_PLAZA,120.402232,30.410476,0
G0015330100100,沿江收费站,zhejiang,RAMP_PLAZA,121.298988,28.733948,0
S0012330010020,姚庄收费站,zhejiang,RAMP_PLAZA,120.976414,30.934224,0
G060N330010010,大同收费站,zhejiang,RAMP_PLAZA,119.084842,29.310385,0
S0026330010180,枫林收费站,zhejiang,MAIN_LINE_PLAZA,120.77115,28.299619,0
G0015330010080,乍浦收费站,zhejiang,RAMP_PLAZA,121.044729,30.645567,0
G9211330010020,岑港收费站,zhejiang,RAMP_PLAZA,121.991663,30.066862,0
G0015330100070,横溪收费站,zhejiang,RAMP_PLAZA,120.495929,28.734085,0
G15W3330010010,横溪(东钱湖南)收费站,zhejiang,RAMP_PLAZA,121.611641,29.742303,0
G0060330020190,阁底收费站,zhejiang,RAMP_PLAZA,118.61486,28.937186,0
S0024330010060,兰亭收费站,zhejiang,RAMP_PLAZA,120.511782,29.912544,0
S0014330010010,泗安北收费站,zhejiang,RAMP_PLAZA,119.671653,30.947636,0
S0009330030020,新湾收费站,zhejiang,RAMP_PLAZA,120.546642,30.30299,0
S0004330010030,杭州萧山(国际|)机场收费站,zhejiang,MAIN_LINE_PLAZA,120.390438,30.215822,0
G0060330010060,王店收费站,zhejiang,RAMP_PLAZA,120.709809,30.642961,0
G0060330020060,牌头收费站,zhejiang,RAMP_PLAZA,120.13848,29.608611,0
G2501330010100,乔司东收费站,zhejiang,RAMP_PLAZA,120.285498,30.340483,0
G2501330010150,袁浦收费站,zhejiang,RAMP_PLAZA,120.154176,30.118311,0
G1512330020020,黄泽收费站,zhejiang,RAMP_PLAZA,120.90325,29.578876,0
G2501330010060,三墩收费站,zhejiang,RAMP_PLAZA,120.06132,30.302914,0
S0012330010080,濮院收费站,zhejiang,RAMP_PLAZA,120.547878,30.73908,0
S0026330010220,永嘉收费站,zhejiang,MAIN_LINE_PLAZA,120.751819,28.156807,0
G0025330040010,岭下朱收费站,zhejiang,RAMP_PLAZA,119.761995,29.055044,0
S0012330020020,双林收费站,zhejiang,RAMP_PLAZA,120.343528,30.755067,0
S0010330010010,仰义收费站,zhejiang,MAIN_LINE_PLAZA,120.578174,28.075206,0
G2501330010020,龙坞收费站,zhejiang,RAMP_PLAZA,120.057512,30.191817,0
G2501330010130,萧山南收费站,zhejiang,RAMP_PLAZA,120.24994,30.104731,0
G0015330100080,壶镇收费站,zhejiang,RAMP_PLAZA,120.260498,28.789338,0
G0092330010150,大隐收费站,zhejiang,RAMP_PLAZA,121.382254,29.938416,0
G0056330010140,老余杭收费站,zhejiang,RAMP_PLAZA,119.960805,30.248823,0
S0045330010020,福田收费站,zhejiang,RAMP_PLAZA,120.113122,29.386907,0
S0045330010040,华溪收费站,zhejiang,RAMP_PLAZA,,,3
S0010330020010,三溪收费站,zhejiang,RAMP_PLAZA,120.548869,27.970234,0
G1512330030080,佛堂收费站,zhejiang,RAMP_PLAZA,120.007916,29.228893,0
