ID,STATION_NAME,PROVINCE,slng,slat,statName交易,statName地图,经度差,纬度差,provName,id,statName,lng_x,lat_x,prov,Name,Province,lng_y,lat_y
G0001210040030,高花西,liaoning,123.03036999999999,41.694998,高花西,,,,liaoning,,,,,,高花西收费站,LIAO_NING,123.038225,41.697979
G0001210060090,万家,liaoning,119.86395800000001,40.068515999999995,万家,,,,liaoning,,,,,,万家收费站,LIAO_NING,119.86958600000001,40.069966
G0011210030080,杏树屯,liaoning,122.1416,39.284753,杏树屯,杏树屯收费站,0.00532,0.001307,liaoning,2110007751.0,杏树屯,122.14692,39.28606,liaoning,杏树屯收费站,LIAO_NING,122.146904,39.286026
G0011210040040,大连湾,liaoning,121.717623,39.041978,大连湾,大连湾收费站,0.005197,0.0009720000000000001,liaoning,2110045857.0,大连湾,121.72282,39.04295,liaoning,大连湾收费站,LIAO_NING,121.722649,39.042966
G0015210010240,鞠屯,liaoning,121.95183700000001,39.907215,鞠屯,鞠屯收费站,0.004973,0.001185,liaoning,2110007528.0,鞠屯,121.95681,39.9084,liaoning,鞠屯收费站,LIAO_NING,121.956928,39.908545000000004
G0015210020040,三涧堡,liaoning,121.25927,38.903552000000005,三涧堡,三涧堡收费站,0.00507,0.000958,liaoning,2110007849.0,三涧堡,121.26433999999999,38.904509999999995,liaoning,三涧堡收费站,LIAO_NING,121.26432,38.904478999999995
G0016210050060,岫岩,liaoning,123.26401200000001,40.30275,岫岩,岫岩收费站,0.005668,0.00147,liaoning,2110007732.0,岫岩,123.26968000000001,40.30422,liaoning,岫岩收费站,LIAO_NING,123.269747,40.304131
G0025210020120,龙城,liaoning,120.406001,41.617197,龙城,龙城收费站,0.006339,0.001323,liaoning,2110007805.0,龙城,120.41233999999999,41.618520000000004,liaoning,龙城收费站,LIAO_NING,120.41207800000001,41.618623
G0025210020140,公营子,liaoning,119.844467,41.379758,公营子,公营子收费站,0.005123,0.0011220000000000002,liaoning,2110007736.0,公营子,119.84958999999999,41.38088,liaoning,公营子收费站,LIAO_NING,119.84953600000001,41.380782
G1212210010020,草市,liaoning,125.214051,42.281129,草市,,,,liaoning,,,,,,草市收费站,LIAO_NING,125.22001599999999,42.283297
G1501210020030,古城子北,liaoning,123.56659499999999,41.745064,古城子北,,,,liaoning,,,,,,古城子北收费站,LIAO_NING,123.569823,41.747222
S0014210010020,安民,liaoning,124.886103,42.75014,安民,,,,liaoning,,,,,,安民收费站,LIAO_NING,124.891921,42.752268
G2518450010030,横垌,guangxi,111.413426,22.821495000000002,横垌,,,,guangxi,,,,,,横垌收费站,GUANG_XI,111.292919,22.876642999999998
S0050120010020,汉港,tianjin,,,汉港,汉港收费站,,,tianjin,2110003733.0,汉港,117.4733,38.96345,tianjin,汉港收费站,TIAN_JIN,117.47317,38.963263
G2501320010030,新篁,jiangsu,118.933675,32.371869000000004,新篁,新篁收费站,0.004225,0.001129,jiangsu,2110046287.0,新篁,118.9379,32.370740000000005,jiangsu,新篁收费站,JIANG_SU,118.93771100000001,32.370523999999996
S0029320010120,新街,jiangsu,120.142724,32.348286,新街,新街收费站,0.224158,2.133944,jiangsu,2110028742.0,新街,120.13628999999999,32.34205,jiangsu,新街收费站,JIANG_SU,120.136248,32.342096999999995
S0055320020010,南京南主线,jiangsu,118.97138899999999,31.708889000000003,南京南主线,,,,jiangsu,,,,,,,,,
S0253320010010,沛龙,jiangsu,116.84445600000001,34.896766,沛龙,,,,jiangsu,,,,,,沛龙收费站,JIANG_SU,116.849737,34.896041
G0004430040370,宜章,hunan,,,宜章,,,,hunan,,,,,,宜章收费站,HU_NAN,112.96375800000001,25.399456
G0085530010040,普洱,yunnan,104.13954,28.252202,普洱,普洱收费站,0.00535,0.006972,yunnan,2110015311.0,普洱,104.14489,28.24523,yunnan,普洱收费站,YUN_NAN,104.144849,28.245282
G0056530130020,陇川,yunnan,97.80805500000001,24.15935,陇川,,,,yunnan,,,,,,陇川收费站,YUN_NAN,97.80875400000001,24.153679
G0080530010010,鹿阜,yunnan,103.288964,24.802107,鹿阜,鹿阜收费站,0.004256,0.005587,yunnan,2110042478.0,鹿阜,103.29321999999999,24.79652,yunnan,鹿阜收费站,YUN_NAN,103.292969,24.796464999999998
G5601530010020,团结,yunnan,102.563203,25.070328,团结,团结收费站,28.299186,20.266099,yunnan,2110054077.0,团结,102.5658,25.06419,yunnan,团结收费站,YUN_NAN,102.56590600000001,25.064103
G0085530030040,功山,yunnan,103.268137,25.737515,功山,功山收费站,0.0022429999999999998,0.005965,yunnan,2110015510.0,功山,103.27038,25.73155,yunnan,功山收费站,YUN_NAN,103.27209599999999,25.731706
S2401130010020,涞水东,hebei,115.45331100000001,39.224431,涞水东,涞水东收费站,0.349039,0.14740899999999998,hebei,2110019793.0,涞水东,115.80235,39.37184,hebei,涞水东收费站,HE_BEI,115.80241200000002,39.371818
G0006130010020,下花园,hebei,115.290869,40.504455,下花园,下花园收费站,0.006331,0.0014449999999999999,hebei,2110019671.0,下花园,115.2972,40.5059,hebei,下花园收费站,HE_BEI,115.297072,40.505807
G1812130010090,保阜高速晋冀界主线,hebei,113.8348,38.942751,保阜高速晋冀界主线,,,,hebei,,,,,,晋冀界收费站,HE_BEI,,
G0018130010030,黄骅北,hebei,117.391029,38.393663000000004,黄骅北,,,,hebei,,,,,,黄骅北收费站,HE_BEI,117.277726,38.548342
S0050130010090,围场南,hebei,117.80153100000001,41.855222,围场南,围场南收费站,0.007289,0.002328,hebei,2110055244.0,围场南,117.80882,41.85755,hebei,围场南收费站,HE_BEI,117.80870900000001,41.854277
G0025130040020,侯家寨,hebei,117.98071599999999,40.276922,侯家寨,侯家寨收费站,0.006006,0.005382,hebei,2110019334.0,侯家寨,117.97471000000002,40.27154,hebei,侯家寨收费站,HE_BEI,117.974667,40.271587
G0025130050020,丰润西,hebei,117.03619599999999,39.863037,丰润西,丰润西收费站,0.993394,0.005217,hebei,2110019800.0,丰润西,118.02958999999998,39.857820000000004,hebei,丰润西收费站,HE_BEI,118.02973999999999,39.857921000000005
G0111130010120,丰南南,hebei,118.11653999999999,39.255347,丰南南,,,,hebei,,,,,,丰南南收费站,HE_BEI,118.11011,39.250966999999996
S2511130010050,曹妃甸工业区,hebei,118.39681100000001,39.140485999999996,曹妃甸工业区,曹妃甸工业区收费站,0.006221,0.005456,hebei,2110019340.0,曹妃甸工业区,118.39058999999999,39.13503,hebei,曹妃甸工业区收费站,HE_BEI,118.38996399999999,39.134812
S0411130010010,林峰,hebei,114.357473,36.469469000000004,林峰,林峰收费站,0.005887,1.1e-05,hebei,2110019095.0,林峰,114.36336000000001,36.46948,hebei,林峰收费站,HE_BEI,114.36348999999998,36.469421000000004
G0095130010010,双滦北,hebei,117.80792,41.022177,双滦北,,,,hebei,,,,,,双滦北收费站,HE_BEI,117.814475,41.024246999999995
S0010130010040,张北北匝道,hebei,114.691974,41.1867,张北北匝道,,,,hebei,,,,,,张北北收费站,HE_BEI,114.69873799999999,41.188190999999996
G4512230010020,农垦九三,heilongjiang,125.20111100000001,48.890555,农垦九三,农垦九三收费站,0.007209,0.002225,heilongjiang,2110020662.0,农垦九三,125.20832,48.89278,heilongjiang,农垦九三收费站,HEI_LONG_JIANG,125.208389,48.892864
