ID,STATION_TYPE
G0001120010030,PROVINCE_STATION_COMMON
G0015330010110,PROVINCE_STATION_COMMON
G0056420010010,PROVINCE_STATION_COMMON
S0088420010010,PROVINCE_STATION_COMMON
G0030340010050,PROVINCE_STATION_COMMON
G0080440032050,PROVINCE_STATION_COMMON
G0025120010010,PROVINCE_STATION_COMMON
G0050320010010,PROVINCE_STATION_COMMON
S0063410020020,PROVINCE_STATION_INDEPENDENT
G0050340090030,PROVINCE_STATION_INDEPENDENT
G0010230010010,PROVINCE_STATION_INDEPENDENT
S0020430020060,PROVINCE_STATION_COMMON
G0016210010010,PROVINCE_STATION_COMMON
G1212210010010,PROVINCE_STATION_COMMON
S0010210010050,PROVINCE_STATION_COMMON
G0020610030070,PROVINCE_STATION_INDEPENDENT
G0065610010010,PROVINCE_STATION_INDEPENDENT
G0036320020010,PROVINCE_STATION_COMMON
G0004410060090,PROVINCE_STATION_INDEPENDENT
G0004430010010,PROVINCE_STATION_COMMON
G0007130010010,PROVINCE_STATION_INDEPENDENT
G0010150030070,PROVINCE_STATION_INDEPENDENT
G0001220030070,PROVINCE_STATION_COMMON
G04W2420040020,PROVINCE_STATION_COMMON
G0056520040120,PROVINCE_STATION_INDEPENDENT
G0056360230060,PROVINCE_STATION_COMMON
S0032110010140,PROVINCE_STATION_INDEPENDENT
S0087140750150,PROVINCE_STATION_INDEPENDENT
G0055150040040,PROVINCE_STATION_COMMON
G0065510010010,PROVINCE_STATION_INDEPENDENT
G0022640010010,PROVINCE_STATION_INDEPENDENT
G0025130070020,PROVINCE_STATION_COMMON
G0065430020130,PROVINCE_STATION_COMMON
G5515500010010,PROVINCE_STATION_COMMON
G015W320020070,PROVINCE_STATION_COMMON
G0085610010010,PROVINCE_STATION_INDEPENDENT
G0035440010010,PROVINCE_STATION_INDEPENDENT
G0045420010010,PROVINCE_STATION_COMMON
G0045420020070,PROVINCE_STATION_COMMON
G0075620040090,PROVINCE_STATION_COMMON
S0025520010010,PROVINCE_STATION_INDEPENDENT
G0072450010010,PROVINCE_STATION_COMMON
S0001120010080,PROVINCE_STATION_COMMON
G0030650010010,PROVINCE_STATION_INDEPENDENT
G0001210010010,PROVINCE_STATION_COMMON
G0045410010010,PROVINCE_STATION_INDEPENDENT
S0036310010030,PROVINCE_STATION_INDEPENDENT
S0065320010020,PROVINCE_STATION_COMMON
G0065150030080,PROVINCE_STATION_INDEPENDENT
G0005130050040,PROVINCE_STATION_COMMON
G0022130010010,PROVINCE_STATION_COMMON
G1812610010010,PROVINCE_STATION_INDEPENDENT
S0012330010010,PROVINCE_STATION_COMMON
G0025220030030,PROVINCE_STATION_COMMON
G0022140540010,PROVINCE_STATION_INDEPENDENT
G0025440010010,PROVINCE_STATION_INDEPENDENT
G0005110010110,PROVINCE_STATION_INDEPENDENT
G7011620010010,PROVINCE_STATION_INDEPENDENT
G0050320010080,PROVINCE_STATION_COMMON
S0091430010090,PROVINCE_STATION_COMMON
S0063500010030,PROVINCE_STATION_INDEPENDENT
G2012620010010,PROVINCE_STATION_INDEPENDENT
S0049410090030,PROVINCE_STATION_INDEPENDENT
G0056420010130,PROVINCE_STATION_COMMON
G0070420070060,PROVINCE_STATION_COMMON
G0015350010010,PROVINCE_STATION_INDEPENDENT
G0001220010010,PROVINCE_STATION_COMMON
G0011220010010,PROVINCE_STATION_COMMON
G0005140290010,PROVINCE_STATION_COMMON
G0078450010010,PROVINCE_STATION_COMMON
G0065450120030,PROVINCE_STATION_COMMON
G0022610010100,PROVINCE_STATION_INDEPENDENT
G4512230030070,PROVINCE_STATION_INDEPENDENT
S0013450010010,PROVINCE_STATION_COMMON
G0078530010060,PROVINCE_STATION_COMMON
G0030610050030,PROVINCE_STATION_COMMON
G0040310010010,PROVINCE_STATION_COMMON
S0032310010090,PROVINCE_STATION_COMMON
G0065500010010,PROVINCE_STATION_COMMON
G0006620010010,PROVINCE_STATION_INDEPENDENT
G0075520010010,PROVINCE_STATION_INDEPENDENT
G0080450010010,PROVINCE_STATION_INDEPENDENT
G0075450010060,PROVINCE_STATION_COMMON
G0078520010110,PROVINCE_STATION_INDEPENDENT
G0065440010010,PROVINCE_STATION_INDEPENDENT
S0032410010010,PROVINCE_STATION_INDEPENDENT
G0060310010040,PROVINCE_STATION_INDEPENDENT
S0027150010130,PROVINCE_STATION_COMMON
G0030340010010,PROVINCE_STATION_COMMON
S0311350020010,PROVINCE_STATION_INDEPENDENT
G0004130010010,PROVINCE_STATION_INDEPENDENT
G0006620030050,PROVINCE_STATION_INDEPENDENT
G0003340080040,PROVINCE_STATION_COMMON
S0006340010030,PROVINCE_STATION_COMMON
G0056340010010,PROVINCE_STATION_INDEPENDENT
G0011230030070,PROVINCE_STATION_INDEPENDENT
G0056430010360,PROVINCE_STATION_COMMON
G0070360130070,PROVINCE_STATION_INDEPENDENT
G0003110010050,PROVINCE_STATION_INDEPENDENT
S0028340010020,PROVINCE_STATION_INDEPENDENT
G0076450010010,PROVINCE_STATION_COMMON
S0004340020010,PROVINCE_STATION_INDEPENDENT
S0007340010010,PROVINCE_STATION_COMMON
S0038320040050,PROVINCE_STATION_COMMON
G0045220010010,PROVINCE_STATION_INDEPENDENT
S0010350010010,PROVINCE_STATION_INDEPENDENT
S0042340010060,PROVINCE_STATION_COMMON
G0069520010010,PROVINCE_STATION_COMMON
G0076430010010,PROVINCE_STATION_COMMON
G0007150010010,PROVINCE_STATION_INDEPENDENT
S0008510010060,RAMP_PLAZA
G0065610130070,RAMP_PLAZA
S0031150010030,RAMP_PLAZA
S0031150030020,RAMP_PLAZA
S0024150010090,RAMP_PLAZA
G5013510010130,RAMP_PLAZA
S4203510010020,RAMP_PLAZA
G0005510080010,RAMP_PLAZA
G0076510030030,RAMP_PLAZA
S0018510020070,RAMP_PLAZA
G0070640010040,MAIN_LINE_PLAZA
G0085510570030,RAMP_PLAZA
G0085510570090,RAMP_PLAZA
G4217510010020,RAMP_PLAZA
S0090430010010,RAMP_PLAZA
S0049320060030,RAMP_PLAZA
G1501310030010,RAMP_PLAZA
G0015310020010,RAMP_PLAZA
G0055140440100,RAMP_PLAZA
G5511150010030,RAMP_PLAZA
G5511150010010,RAMP_PLAZA
G0010150030050,RAMP_PLAZA
G0010150030030,RAMP_PLAZA
G0010150020020,RAMP_PLAZA
G1501310010040,RAMP_PLAZA
G0075440010070,RAMP_PLAZA
G0075440010050,RAMP_PLAZA
G0094440020010,RAMP_PLAZA
G0055440010130,RAMP_PLAZA
G04W3440012020,RAMP_PLAZA
S0005440020010,RAMP_PLAZA
G15W3440010120,RAMP_PLAZA
G0004110010080,RAMP_PLAZA
G4501110070010,RAMP_PLAZA
G4501110040020,RAMP_PLAZA
G4501110020050,RAMP_PLAZA
G0006110010120,RAMP_PLAZA
G0006110010070,RAMP_PLAZA
G0006110010090,RAMP_PLAZA
G0005110010050,RAMP_PLAZA
G4501110010030,RAMP_PLAZA
G4501110010010,RAMP_PLAZA
G0002110010080,RAMP_PLAZA
S0011110020030,RAMP_PLAZA
G0045150040030,RAMP_PLAZA
G0045150030040,RAMP_PLAZA
G0045150030030,RAMP_PLAZA
G0016150040040,RAMP_PLAZA
G2511150010050,RAMP_PLAZA
G2211610020040,RAMP_PLAZA
G3001610010110,RAMP_PLAZA
S0052450010030,RAMP_PLAZA
G0075620040060,RAMP_PLAZA
G0030620140010,RAMP_PLAZA
S0083410040020,RAMP_PLAZA
S0083410050030,RAMP_PLAZA
G0007150020040,RAMP_PLAZA
S0024150010010,MAIN_LINE_PLAZA
G0065150030060,RAMP_PLAZA
G7511450020010,RAMP_PLAZA
G0075450070010,RAMP_PLAZA
G0065450040020,RAMP_PLAZA
S0060450020090,RAMP_PLAZA
G0075450050020,RAMP_PLAZA
G0078450080010,RAMP_PLAZA
G0075450050010,MAIN_LINE_PLAZA
S0052450040040,RAMP_PLAZA
G04W2430020010,MAIN_LINE_PLAZA
G04W2430020060,MAIN_LINE_PLAZA
G0401430020010,MAIN_LINE_PLAZA
S0080430020060,MAIN_LINE_PLAZA
G04W2430040050,MAIN_LINE_PLAZA
S0091430010080,MAIN_LINE_PLAZA
G1512330010010,MAIN_LINE_PLAZA
G15W3330010030,RAMP_PLAZA
G0015330010010,MAIN_LINE_PLAZA
S0012330010070,RAMP_PLAZA
S0004330010030,MAIN_LINE_PLAZA
S0010330010030,MAIN_LINE_PLAZA
G0025330020130,RAMP_PLAZA
S0014330020010,RAMP_PLAZA
G0015330040040,MAIN_LINE_PLAZA
S0010330010010,MAIN_LINE_PLAZA
G0092330010010,RAMP_PLAZA
S0026330010180,MAIN_LINE_PLAZA
G0060330020160,RAMP_PLAZA
G0015330040060,MAIN_LINE_PLAZA
G0015330040020,MAIN_LINE_PLAZA
G0015330110070,RAMP_PLAZA
G0025330040120,RAMP_PLAZA
G0060330010060,RAMP_PLAZA
S0024330010090,RAMP_PLAZA
G0015330010030,RAMP_PLAZA
G0025330010030,RAMP_PLAZA
