ID,STATION_NAME,PROVINCE,slng,slat,statName交易,statName地图,经度差,纬度差,provName,id,statName,lng_x,lat_x,prov,Name,Province,lng_y,lat_y,STATION_ID,STATION_Name,STATION_PRO,STATION_TYPE,STATION_LNG,STATION_LAT,DATA_FROM_SOURCE
S0012350040010,溪南,fujian,,,溪南,溪南收费站,,,fujian,2110041023.0,溪南收费站,117.55885,25.355999999999998,fujian,溪南收费站,FU_JIAN,117.558612,25.355976,S0012350040010,溪南,fujian,MAIN_LINE_PLAZA,117.558612,25.355976,0
G0015350050050,涵江,fujian,,,涵江,涵江收费站,,,fujian,2110031808.0,涵江收费站,119.1619,25.45548,fujian,涵江收费站,FU_JIAN,119.162289,25.455448,G0015350050050,涵江,fujian,MAIN_LINE_PLAZA,119.162289,25.455448,0
G15W3350070050,安溪龙门,fujian,,,安溪龙门,安溪龙门收费站,,,fujian,2110045169.0,安溪龙门收费站,118.08123,24.95618,fujian,安溪龙门收费站,FU_JIAN,118.081277,24.95599,G15W3350070050,安溪龙门,fujian,MAIN_LINE_PLAZA,118.081277,24.95599,0
G15W3350080010,长泰枋洋,fujian,,,长泰枋洋,长泰枋洋收费站,,,fujian,2110056173.0,长泰枋洋收费站,117.90098,24.78883,fujian,长泰枋洋收费站,FU_JIAN,117.90097,24.788883,G15W3350080010,长泰枋洋,fujian,MAIN_LINE_PLAZA,117.90097,24.788883,0
G1514350010060,水吉,fujian,,,水吉,水吉收费站,,,fujian,2110045119.0,水吉收费站,118.34759,27.43555,fujian,水吉收费站,FU_JIAN,118.347693,27.435345,G1514350010060,水吉,fujian,MAIN_LINE_PLAZA,118.347693,27.435345,0
G1517350010030,涵江萩芦,fujian,,,涵江萩芦,,,,fujian,,,,,,涵江萩芦收费站,FU_JIAN,119.116575,25.535949,G1517350010030,涵江萩芦,fujian,MAIN_LINE_PLAZA,119.116575,25.535949,0
G1517350020030,三明西,fujian,,,三明西,,,,fujian,,,,,,三明西收费站,FU_JIAN,117.565239,26.239802,G1517350020030,三明西,fujian,MAIN_LINE_PLAZA,117.565239,26.239802,0
G15W3350010010,柘荣,fujian,,,柘荣,柘荣收费站,,,fujian,2110135198.0,柘荣收费站,119.89412,27.21195,fujian,柘荣收费站,FU_JIAN,119.893882,27.211697,G15W3350010010,柘荣,fujian,MAIN_LINE_PLAZA,119.893882,27.211697,0
G0011210030090,登沙河,liaoning,122.03592,39.239385,登沙河,登沙河收费站,0.00512,0.001255,liaoning,2110007578.0,登沙河收费站,122.04104,39.24064,liaoning,登沙河收费站,LIAO_NING,122.041092,39.240448,G0011210030090,登沙河,liaoning,RAMP_PLAZA,122.041092,39.240448,0
G7011610010040,双河,shaanxi,109.751721,32.718096,双河,,,,shaanxi,,,,,,双河收费站,SHAAN_XI,109.756651,32.716002,G7011610010040,双河,shaanxi,RAMP_PLAZA,109.756651,32.716002,0
G04W2440020090,江高,guangdong,113.207803,23.276443,江高,,,,guangdong,,,,,,江高收费站,GUANG_DONG,113.209257,23.288372,G04W2440020090,江高,guangdong,MAIN_LINE_PLAZA,113.209257,23.288372,0
S0021120020050,东棘坨,tianjin,,,东棘坨,东棘坨收费站,,,tianjin,2110003869.0,东棘坨收费站,117.63998,39.42548,tianjin,东棘坨收费站,TIAN_JIN,117.640084,39.42531,S0021120020050,东棘坨,tianjin,RAMP_PLAZA,117.640084,39.42531,0
G0065430020080,乐安铺,hunan,,,乐安铺,乐安铺收费站,,,hunan,2110058150.0,乐安铺收费站,109.8988,26.4663,hunan,乐安铺收费站,HU_NAN,109.898913,26.466558000000006,G0065430020080,乐安铺,hunan,MAIN_LINE_PLAZA,109.898913,26.466558000000006,0
G0401430020040,鹿芝岭,hunan,,,鹿芝岭,鹿芝岭收费站,,,hunan,2110055891.0,鹿芝岭收费站,113.12643,28.10367,hunan,鹿芝岭收费站,HU_NAN,113.126585,28.103718,G0401430020040,鹿芝岭,hunan,MAIN_LINE_PLAZA,113.126585,28.103718,0
G5513430020740,幸福渠,hunan,,,幸福渠,幸福渠收费站,,,hunan,2110032754.0,幸福渠收费站,112.35842,28.6127,hunan,幸福渠收费站,HU_NAN,112.358477,28.612686,G5513430020740,幸福渠,hunan,MAIN_LINE_PLAZA,112.358477,28.612686,0
S0080430020050,邵东南,hunan,,,邵东南,邵东南收费站,,,hunan,2110032654.0,邵东南收费站,111.72108,27.182440000000003,hunan,邵东南收费站,HU_NAN,111.720925,27.182428,S0080430020050,邵东南,hunan,MAIN_LINE_PLAZA,111.720925,27.182428,0
S0081430010010,道州,hunan,,,道州,道州收费站,,,hunan,2110033110.0,道州收费站,111.59316,25.46879,hunan,道州收费站,HU_NAN,111.593199,25.468975,S0081430010010,道州,hunan,MAIN_LINE_PLAZA,111.593199,25.468975,0
S0050430010080,娄底,hunan,,,娄底,娄底收费站,,,hunan,2110069133.0,娄底收费站,111.99976,27.84352,hunan,娄底收费站,HU_NAN,111.999791,27.843088,S0050430010080,娄底,hunan,MAIN_LINE_PLAZA,111.999791,27.843088,0
G0018120010030,津冀,tianjin,,,津冀,,,,tianjin,,,,,,津冀收费站,HE_BEI,116.855648,39.153604,G0018120010030,津冀,tianjin,PROVINCE_STATION_COMMON,116.855648,39.153604,0
G0206340001010,G206罗塘,anhui,,,G206罗塘,,,,anhui,,,,,,罗塘收费站,AN_HUI,117.113506,32.37927,G0206340001010,G206罗塘,anhui,,117.113506,32.37927,0
