"ID","Name","Province","lng","lat"
"S0026210010010","建昌收费站","LIAO_NING","119.876619","40.846825"
"G0004130010110","清苑收费站","HE_BEI","115.455653","38.743501"
"S9902130010030","正定收费站","HE_BEI","114.591377","38.157457"
"G0015440050030","龙岗收费站","GUANG_DONG","114.210397","22.678507"
"G1011230010030","富锦东收费站","HEI_LONG_JIANG","132.134371","47.282424"
"G0002320010040","沭阳北收费站","JIANG_SU","118.752168","34.185761"
"G0025320020060","灌南收费站","JIANG_SU","119.271605","34.098098"
"G0025320060010","竹镇收费站","JIANG_SU","118.721873","32.530885"
"G0030320010020","平明收费站","JIANG_SU","118.956158","34.508224"
"G015W320010040","阳澄湖收费站","JIANG_SU","120.733856","31.476867"
"G015W320020050","黎里收费站","JIANG_SU","120.677651","31.003268"
"G2513320030040","徐州机场收费站","JIANG_SU","117.595716","34.074723"
"S0049320030010","盱眙收费站","JIANG_SU","118.571744","33.003878"
"G5615530030070","文山东收费站","YUN_NAN","104.233454","23.427797"
"G0015310020030","曹安公路收费站","SHANG_HAI","121.241379","31.270555"
"G1501310020010","高东收费站","SHANG_HAI","121.667001","31.305569"
"G5013500010020","璧山收费站","CHONG_QING","106.228365","29.632060"
"S0062520010040","凯里黄平机场收费站","GUI_ZHOU","107.983628","26.972166"
"G0069520060040","罗甸北收费站","GUI_ZHOU","106.668989","25.507894"
"G2511150010060","辽河镇收费站","NEI_MENG_GU","122.290721","43.719695"
"G0016150030050","赤峰西收费站","NEI_MENG_GU","118.839242","42.333159"
"G0045150030080","赤峰东收费站","NEI_MENG_GU","119.055142","42.302976"
"G0045150030010","齐家窝铺收费站","NEI_MENG_GU","120.368613","42.537387"
"G0045440010050","隆街收费站","GUANG_DONG","114.373136","24.231984"
"G0055440010120","梁村收费站","GUANG_DONG","112.017509","23.965325"
"G0006620030040","海石湾收费站","GAN_SU","102.945773","36.300075"
"G3511410020010","滑县牛屯收费站","HE_NAN","114.425967","35.257513"
"G0078450040010","洛埠收费站","GUANG_XI","109.548060","24.435762"
"S0052450030050","马山南收费站","GUANG_XI","108.203117","23.620402"
"S0052450040020","四塘收费站","GUANG_XI","107.807605","23.400528"
"S5101450010040","八鲤收费站","GUANG_XI","108.546200","22.731988"
"G0072450010020","黄沙河收费站","GUANG_XI","111.231816","26.089015"
"G0055430050070","南风坳收费站","HU_NAN","112.169916","25.258126"
"G0065430010030","花垣西收费站","HU_NAN","109.304523","28.517999"
"G8511530030060","忠爱收费站","YUN_NAN","101.510085","23.319289"
"G0323530010060","石屏收费站","YUN_NAN","102.478910","23.705019"
"S0039530010020","西邑收费站","YUN_NAN","100.179336","26.257708"
"G0056530110010","蒲缥收费站","YUN_NAN","99.063724","24.958538"
"S0027530010030","大营收费站","YUN_NAN","102.820622","24.793867"
"G0056530090080","保山收费站","YUN_NAN","99.181934","25.110527"
"G0078530030040","松茂收费站","YUN_NAN","102.914015","24.907206"
"G0015320020010","灌云北收费站","JIANG_SU","119.276281","34.414214"
"S0013440010060","雷岭收费站","GUANG_DONG","116.367062","23.094147"
"G2511150020040","甘旗卡收费站","NEI_MENG_GU","122.416929","43.017164"
"G5511150020090","乌兰浩特西收费站","NEI_MENG_GU","121.937039","46.082183"
"G0055440030040","宾亨收费站","GUANG_DONG","112.443241","23.505387"
"G0015440122020","杨梅收费站","GUANG_DONG","110.613997","21.529279"
"G0075620010020","井坪收费站","GAN_SU","103.700084","35.749744"
"G0055410070040","陶营收费站","HE_NAN","111.971728","32.599309"
"G3001410010070","大学南路收费站","HE_NAN","113.647868","34.637456"
"S0004340010020","灵璧收费站","AN_HUI","117.555541","33.600471"
"G0018370160040","威海南海收费站","SHAN_DONG","121.906979","37.057016"
"G0003370040020","济南西收费站","SHAN_DONG","116.887395","36.652338"
"G0002370090010","济南东收费站","SHAN_DONG","117.209920","36.676523"
"G0002370050030","青驼收费站","SHAN_DONG","118.260077","35.410987"
"G0018370120020","东营北收费站","SHAN_DONG","118.600588","37.468598"
"G0018370110010","利津收费站","SHAN_DONG","118.363028","37.707184"
"G0022370040010","辛庄收费站","SHAN_DONG","117.828920","36.236890"
"G0022370010050","辛兴收费站","SHAN_DONG","119.589782","36.060209"
"G1813370020050","海阳西收费站","SHAN_DONG","121.120716","36.727927"
"G2516370040020","金郝庄收费站","SHAN_DONG","115.988797","36.877306"
"G0002320020020","泰兴北收费站","JIANG_SU","120.019429","32.239377"
"G0025320020050","灌云南收费站","JIANG_SU","119.226361","34.276597"
"S0019320020020","鹿苑收费站","JIANG_SU","120.613933","31.861223"
"G0045150020030","余粮堡收费站","NEI_MENG_GU","121.984042","43.375078"
"G0045150030070","三道井收费站","NEI_MENG_GU","119.042422","42.255211"
"S0011110020010","高丽营收费站","BEI_JING","116.492203","40.183062"
"G0102110010040","丁各庄收费站","BEI_JING","116.732123","39.926802"
"G0045110020020","榆垡南收费站","BEI_JING","116.294348","39.503629"
"G0103110010020","会村收费站","BEI_JING","116.596298","39.908910"
"G0045110020010","求贤收费站","BEI_JING","116.294470","39.512579"
"G15W3350060030","南安梅山收费站","FU_JIAN","118.463850","25.140347"
"G0030410030050","文化路收费站","HE_NAN","113.647711","34.848317"
"G0045410010020","南乐收费站","HE_NAN","115.138222","36.084561"
"S0032410020030","苌庄收费站","HE_NAN","113.326089","34.310371"
"S0087410020020","广武收费站","HE_NAN","113.463804","34.886274"
"G0069610010040","淳化南收费站","SHAAN_XI","108.621958","34.770389"
"S7101430010030","新桥河收费站","HU_NAN","112.243514","28.595601"
"G15W3350070040","安溪官桥收费站","FU_JIAN","118.055592","25.023124"
"S0059410020010","寨根收费站","HE_NAN","111.189935","33.573064"
"G0018370050030","黄城收费站","SHAN_DONG","120.500415","37.616291"
"G0018370050060","烟台机场收费站","SHAN_DONG","121.006825","37.635475"
"G0025370010020","阳河收费站","SHAN_DONG","118.547368","36.917213"
"S7201370010010","集贤收费站","SHAN_DONG","118.533677","37.645614"
"G1813370020060","海阳收费站","SHAN_DONG","121.203241","36.760618"
"G2516370040030","临清收费站","SHAN_DONG","115.783979","36.877431"
"S0038370010060","枣庄新城收费站","SHAN_DONG","117.385748","34.707870"
"G0015370060010","铁山收费站","SHAN_DONG","119.939787","35.890316"
"G0035370020010","菏泽新北收费站","SHAN_DONG","115.663882","35.278523"
"G0004130010070","徐水收费站","HE_BEI","115.701803","39.044792"
"G0004130010080","保定北收费站","HE_BEI","115.596324","38.906130"
"G0075520010050","桐梓收费站","GUI_ZHOU","106.829730","28.113039"
"G0075520020010","遵义南收费站","GUI_ZHOU","106.887564","27.633572"
"S0050520010140","兴仁北收费站","GUI_ZHOU","105.186138","25.442757"
"G0060520030060","马场坪收费站","GUI_ZHOU","107.520421","26.623792"
"S0062520020010","凯里南收费站","GUI_ZHOU","107.917127","26.519548"
"G0001230010050","瓦盆窑收费站","HEI_LONG_JIANG","126.626148","45.650196"
"S0016230010020","兴凯湖收费站","HEI_LONG_JIANG","132.317661","45.373470"
"G0010230020020","胜利收费站","HEI_LONG_JIANG","124.526716","47.294304"
"S0201650010020","沙门子收费站","XIN_JIANG","85.308447","44.926106"
"S0028440010050","布龙收费站","GUANG_DONG","114.105014","22.632305"
"G6011440010110","乐村坪收费站","GUANG_DONG","113.608833","24.729609"
"G04W3440011110","源潭收费站","GUANG_DONG","113.231740","23.651233"
"S0014440010090","蓝塘收费站","GUANG_DONG","114.950125","23.501442"
"G0065440010070","曹江收费站","GUANG_DONG","110.927368","21.953217"
"G15W3440010170","赤石收费站","GUANG_DONG","115.105793","22.942584"
"S0082410020030","杏花营收费站","HE_NAN","114.217728","34.720355"
"G0060430020490","邵阳东收费站","HU_NAN","111.578319","27.228391"
"S0011430010030","南江收费站","HU_NAN","113.748459","28.988067"
"S0011430010060","安定收费站","HU_NAN","113.617572","28.575119"
"S0101500060070","永川西收费站","CHONG_QING","105.853438","29.353233"
"S0030440020070","盐田收费站","GUANG_DONG","114.219142","22.604447"
"G0004440020120","钟落潭收费站","GUANG_DONG","113.418928","23.385705"
"S0085410030020","宜阳收费站","HE_NAN","112.219326","34.567293"
"S0060410030010","尉氏北收费站","HE_NAN","114.203225","34.465232"
"G0006130010010","宣化东收费站","HE_BEI","115.152700","40.556008"
"G2516130020090","运河西收费站","HE_BEI","115.683075","36.890252"
"S0022130010030","漳河店收费站","HE_BEI","114.837176","36.399673"
"G0085500020120","渝荣收费站","CHONG_QING","105.472447","29.404398"
"G0050500040040","洛碛收费站","CHONG_QING","106.932188","29.739479"
"S0085410040020","长水收费站","HE_NAN","111.439891","34.329302"
"S0083410050040","构林收费站","HE_NAN","112.122418","32.449720"
"G0045410070050","项城西收费站","HE_NAN","114.821413","33.433889"
"S0088410020040","下汤收费站","HE_NAN","112.701914","33.708920"
"G0075450050010","南宁南收费站","GUANG_XI","108.414173","22.677844"
"G0078450060030","洛东收费站","GUANG_XI","108.856925","24.476251"
"S0052450030030","西燕收费站","GUANG_XI","108.499365","23.538149"
"G0078450010050","贺街收费站","GUANG_XI","111.650249","24.315005"
"S0055520040030","普定收费站","GUI_ZHOU","105.751538","26.322218"
"S0032110010050","北庄头收费站","BEI_JING","116.750189","40.030716"
"S0032110010090","南张岱收费站","BEI_JING","117.033809","40.076514"
"S0015110010050","永乐收费站","BEI_JING","116.814676","39.640485"
"S0011650010010","火烧山收费站","XIN_JIANG","89.026291","44.885171"
"G0075520020100","修文收费站","GUI_ZHOU","106.692054","26.866760"
"S0011110030050","程各庄收费站","BEI_JING","117.155176","40.416467"
"G0004110010070","窦店收费站","BEI_JING","116.078058","39.657084"
"G0003110010040","佃子收费站","BEI_JING","116.487503","39.563891"
"G0006110010070","沙河收费站","BEI_JING","116.282244","40.111371"
"S0081410020020","柘城北收费站","HE_NAN","115.316182","34.129681"
"G0001210050010","光辉收费站","LIAO_NING","121.615306","41.188033"
"G0025210020110","朝阳北收费站","LIAO_NING","120.490980","41.649850"
"G1113210060010","本溪南收费站","LIAO_NING","123.804630","41.257011"
"G1113210060030","南芬收费站","LIAO_NING","123.753041","41.121531"
"G1501210020010","沈抚新区收费站","LIAO_NING","123.603373","41.792144"
"G2511210020020","新民北收费站","LIAO_NING","122.861047","42.055107"
"S0010210010010","上夹河收费站","LIAO_NING","124.480037","41.872831"
"G04W2440020040","古钱岭收费站","GUANG_DONG","113.110282","23.523983"
"G0080440020030","云浮东收费站","GUANG_DONG","112.103480","22.954005"
"G1011230030050","高楞收费站","HEI_LONG_JIANG","129.243693","45.961165"
"G0025120010040","汉沽收费站","TIAN_JIN","117.824813","39.268052"
"S0003120010040","天津收费站","TIAN_JIN","117.361595","39.106423"
"S0001120010130","津蓟天津收费站","TIAN_JIN","117.292156","39.235223"
