"ID","STATION_NAME","PROVINCE","slng","slat"
"G4012340010010","皖苏郎溪","anhui","119.173200","31.131900"
"S0001510020100","成绵复彭州","sichuan",,
"S0066510010090","乐自舒坪","sichuan",,
"S0403230010060","大个岭","heilongjiang","130.798490","45.759353"
"G0010230050020","海林","heilongjiang","129.415636","44.609975"
"G0011230030010","牡丹江南","heilongjiang","129.576230","44.512362"
"G1011230020020","四马架","heilongjiang","130.634888","46.771271"
"G0010230060010","磨刀石","heilongjiang","129.596320","44.596250"
"G0003320010010","京福苏鲁省界","jiangsu","117.425013","34.537013"
"G0015320010030","海头","jiangsu","119.151098","34.965931"
"S0999340010010","芜湖长江大桥","anhui","118.348330","31.386380"
"G0069500020010","曹家","chongqing","108.059000","30.915000"
"G0025350020020","沙县","fujian",,
"S0010350030030","延平赤门","fujian",,
"S0012350010030","仙游盖尾","fujian",,
"S0012350010040","莆田华亭","fujian",,
"G0015350010110","福安","fujian",,
"S0311350030020","建宁里心","fujian",,
"S0002440010050","永汉　","guangdong","113.992121","23.562821"
"S0209440020030","神龙2","guangdong","114.103124","22.619976"
"G5013510010110","安岳","sichuan",,
"G0093510070090","乐雅苏稽","sichuan",,
"G5012510020090","巴达兴文","sichuan",,
"S0002517570030","巴桃南江南","sichuan",,
"G001N130050020","齐心庄","hebei","116.938427","39.992228"
"G0004130020180","临漳","hebei","114.389379","36.234756"
"S0003130010060","大城","hebei","116.570895","38.708523"
"G0045130030030","牛驼","hebei","116.294659","39.231203"
"S0105130010010","唐山东","hebei","118.301519","39.681361"
"G0025130040050","党峪","hebei","118.038783","39.973271"
"G0111130010030","抚宁南","hebei","119.279450","39.803863"
"G001N130030030","清东陵主线","hebei","117.732065","40.120633"
"G0095130060020","黄帝城","hebei","115.313477","40.152603"
"G0020130010040","南宫","hebei","115.323030","37.336455"
"S0032130010040","东城","hebei","114.512822","40.203572"
"S0010130030030","蔚县东匝道","hebei","114.653217","39.771060"
"G0050500040020","古佛","chongqing","107.040100","29.833583"
"S0013130010050","河间北","hebei","116.081902","38.500807"
"S0055520050030","双堡","guizhou",,
"S0055520050040","杨武","guizhou",,
"G2511150010040","孝庄园","neimenggu",,
"G0016150030020","巴林桥","neimenggu",,
"G0016150040050","赤峰南交接","neimenggu",,
"G5511150020040","扎赉特","neimenggu",,
"G0094440040060","外海A","guangdong","113.145059","22.561912"
"G0030620010030","桃花坪","gansu","106.587460","34.338109"
"S0017620010010","下四分","gansu",,
"S0026510010090","宜叙石海","sichuan",,
"S0026510020030","叙古古蔺东","sichuan",,
"S4203510010080","简蒲黑龙滩","sichuan",,
"G0085640010040","211太阳山","ningxia",,
"G0059450020070","南康","guangxi","109.481329","21.606091"
"G0078450080090","隆林","guangxi","105.528240","24.749138"
"S0031450020020","太阳村","guangxi","109.248122","24.365816"
"S0052450030020","上林","guangxi","108.597060","23.543477"
"S0052450030040","古零","guangxi","108.370905","23.600632"
"G7212450040050","龙门","guangxi","109.481417","22.191257"
"S2201450010030","桂林高新","guangxi","110.379865","25.210500"
"G0070350020010","万安","fujian",,
"G0072350010040","码头","fujian",,
"G1517350020010","明溪","fujian",,
"G0042500040090","云台","chongqing","107.225235","30.128499"
"G4215520010090","火石岗","guizhou",,
"G0056520020010","温泉","guizhou",,
"S0079520010020","青场","guizhou",,
"G4215510020020","成自泸新场","sichuan",,
"G0065510020110","达渝四川","sichuan",,
"G4215510020080","成自泸威远西","sichuan",,
"G0003350010040","临江","fujian",,
"G4215510010050","成自泸文宫","sichuan",,
"S0002510030030","成德南八角","sichuan",,
"G0075510010010","广甘青川","sichuan",,
"G4215510030090","成自泸四川","sichuan",,
"G0045440010110","米埗","guangdong","113.659588","23.697289"
"G04W3440011040","沙口","guangdong","113.508014","24.425851"
"G0050500040060","复盛","chongqing","106.799078","29.645227"
"G0042500040110","桃花街","chongqing","107.443000","29.511800"
"G0076520050010","秦棋","guizhou",,
"S0051440010010","围底","guangdong","111.676576","22.708920"
"S0032110010130","南太务","beijing","117.191908","40.132248"
"S0032110010070","薛家庄","beijing","116.922856","40.062594"
"S0032110010040","沿河","beijing","116.701977","40.037616"
"S0011110030090","司马台","beijing","117.275433","40.682064"
"S0011110020060","中影杨宋","beijing","116.667053","40.271591"
"S0011110020050","怀柔","beijing","116.634453","40.277066"
"S0011110030020","辛安庄","beijing","116.961717","40.395681"
"G4501110040050","肖庄","beijing","116.144570","39.698439"
"G0045110010050","金华寺","beijing","116.338950","39.743990"
"G0006110010080","小汤山","beijing","116.258438","40.136935"
"G0004110010080","琉璃河","beijing","116.054015","39.595813"
"G0001110010050","郎府","beijing","116.839030","39.799494"
"G0055410070050","龙堰","henan",,
"G3001410010020","科学大道","henan",,
"G3001410010050","陇海西路","henan",,
"G0001210040010","沈阳西","liaoning","123.257304","41.795598"
"G0001210040040","茨榆坨","liaoning","122.845705","41.576725"
"G0001210040050","辽中","liaoning","122.736797","41.533322"
"G0001210060070","绥中","liaoning","120.312283","40.336278"
"G0011210010090","宽甸","liaoning","124.734657","40.734837"
"G0011210010060","青山沟","liaoning","125.099003","41.037997"
"G0011210020040","大孤山","liaoning","123.588495","39.930357"
"G0011210020080","庄河东","liaoning","122.952590","39.736002"
"G0011210040030","十里岗北","liaoning","121.755352","39.071017"
"G0015210010020","苏家屯南","liaoning","123.312467","41.624420"
"G0015210010070","辽阳县","liaoning","122.992785","41.227108"
"G0015210010110","汤岗子","liaoning",,
"G0015210010130","海城","liaoning","122.664868","40.891585"
"G0016210050020","牌楼","liaoning","122.798013","40.749895"
"G0016210050080","洋河","liaoning","123.420008","40.057978"
"G1113210030020","雪莲街","liaoning","123.387500","41.707575"
"G1113210070060","五龙背","liaoning","124.225763","40.224863"
"G2512210010060","双羊","liaoning","121.283098","41.127367"
"S0002210020010","沈北新区","liaoning","123.528037","42.093088"
"S0017210010040","金家","liaoning","123.729845","42.830660"
"G4215510010060","成自泸仁寿","sichuan",,
"G0076510010080","成渝球溪东","sichuan",,
"G5012510030030","广巴白水","sichuan",,
"S0040510020100","资眉洪雅","sichuan",,
"G0006640010140","鸣沙","ningxia",,
"G1817640010010","银巴高速","ningxia",,
"G0015440050050","荷坳","guangdong","114.239080","22.688916"
"G0001130010010","万家主线","hebei","119.876643","40.075540"
"G5512140760010","丹河","shanxi","112.988572","35.473316"
"S0008510010040","成温邛金马","sichuan",,
"G0045130020020","桃城","hebei","115.758583","37.754667"
"G1811130020060","武强","hebei","115.962536","38.026121"
"G0095130040020","高官庄","hebei","116.057041","39.397488"
"S0027330010030","方岩","zhejiang","120.166272","28.945608"
"G0060330010020","嘉善","zhejiang","120.945573","30.802325"
"G0060330020010","萧山东","zhejiang","120.333467","30.174860"
"G0060330020220","窑上","zhejiang","118.349383","28.817772"
"G0025330040150","梅岙","zhejiang","120.580050","28.117722"
"G0015330100030","临海白水洋","zhejiang","120.906372","28.881442"
"G0025330020050","灵桥","zhejiang","120.033118","30.017092"
"G0015330110050","塘下","zhejiang","120.674991","27.855427"
"G0025330010100","父子岭","zhejiang","119.910862","31.172727"
"G0092330010070","绍兴","zhejiang","120.608980","30.109957"
"G0025330030040","云和","zhejiang","119.599318","28.105991"
"G060N330020030","新桥","zhejiang","118.734170","29.169010"
"S0026330010040","街亭","zhejiang","120.303383","29.645020"
"G0025330040170","娄桥","zhejiang","120.601519","27.972255"
"G0025330030070","龙泉东(塔石)","zhejiang","119.197992","28.049472"
"G0001220010050","公主岭","jilin","43.495769","124.838366"
"G0011220010050","敦化西","jilin","43.372090","128.158719"
"G0012220010060","白城东","jilin","45.610537","122.913549"
"G0012220030030","龙嘉机场","jilin","43.976004","125.670269"
"G0025220010010","长春西","jilin","42.987655","123.112310"
"G0045220010030","松原东","jilin","45.177105","124.903906"
"S0014330020050","径山","zhejiang","119.888864","30.393131"
"S0020330010050","穿山港区","zhejiang","122.035003","29.871743"
"G1112220010050","三源浦","jilin","42.048776","125.796522"
"G1212220010060","永吉","jilin","43.686988","126.423641"
"S0010220010010","通化西","jilin","41.681671","125.783504"
"S0026220010020","伊通","jilin","43.367853","125.336415"
"S0026220020060","抚民","jilin","42.486137","126.443968"
"G0045420010040","铁门","hubei",,
"G004E420010020","嘉鱼南","hubei",,
"G004E420020030","通城南","hubei",,
"G0050420010020","黄梅","hubei",,
"G0050420010050","蕲春","hubei",,
"G0050420030060","后湖","hubei",,
"G0050420030120","猇亭","hubei",,
"G0050420030130","伍家岗","hubei",,
"G0050420050030","高家堰","hubei",,
