statName交易,statName地图,经度差,纬度差,provName
长春西,长春西收费站,82.193725,79.17345,jilin
松原东,松原东收费站,79.717455,79.732656,jilin
径山,径山收费站,0.004496,0.002101,zhejiang
穿山港区,穿山港区收费站,0.006013,0.005593,zhejiang
三源浦,三源浦收费站,83.738744,83.759562,jilin
永吉,永吉收费站,82.731122,82.743041,jilin
通化西,,,,jilin
伊通,伊通收费站,81.961087,81.974385,jilin
抚民,抚民收费站,83.951233,83.963408,jilin
铁门,铁门收费站,,,hubei
嘉鱼南,,,,hubei
通城南,通城南收费站,,,hubei
黄梅,黄梅收费站,,,hubei
蕲春,蕲春收费站,,,hubei
后湖,后湖收费站,,,hubei
猇亭,猇亭收费站,,,hubei
伍家岗,伍家岗收费站,,,hubei
高家堰,高家堰收费站,,,hubei
贺家坪,贺家坪收费站,,,hubei
利川西,,,,hubei
荆州桥北,荆州桥北收费站,,,hubei
荆州南,荆州南收费站,,,hubei
通山,通山收费站,,,hubei
房县,房县收费站,,,hubei
歇马,,,,hubei
白洋,,,,hubei
隆中,隆中收费站,,,hubei
桂花,桂花收费站,,,hubei
开州,,,,chongqing
南雅,南雅收费站,0.017715,0.006882,chongqing
夏坝,,,,chongqing
两河口主线,,,,guizhou
李子垭,李子垭收费站,,,guizhou
团泽,团泽收费站,,,guizhou
刘官,刘官收费站,,,guizhou
上麦,上麦收费站,,,guizhou
马家湾,马家湾收费站,,,guizhou
三合,三合收费站,,,guizhou
乌江,乌江收费站,,,guizhou
兴义东,兴义东收费站,,,guizhou
大龙主道,,,,guizhou
羊场,羊场收费站,,,guizhou
麻尾东,,,,guizhou
青曼,,,,guizhou
六盘水南,,,,guizhou
大厂,大厂收费站,,,guizhou
朱昌,朱昌收费站,,,guizhou
关岭,关岭收费站,,,guizhou
小寨坝,小寨坝收费站,,,guizhou
罗甸,罗甸收费站,,,guizhou
寿阳,寿阳收费站,0.007136,0.000731,shanxi
宁定路定南段定南东,,,,jiangxi
曹家堡西,,,,qinghai
宝昌北,宝昌北收费站,,,neimenggu
海门,海门收费站,0.003157,0.000224,guangdong
杜阮,杜阮收费站,0.028982,0.007901,guangdong
北环广园,,,,guangdong
乌石,乌石收费站,0.005527,0.002854,guangdong
余家湾,,,,gansu
临夏,临夏收费站,0.001538,0.000062,gansu
王格尔塘,王格尔塘收费站,0.004836,0.001693,gansu
徽县,徽县收费站,0.005102,0.001779,gansu
西三环北,,,,henan
富航路,,,,henan
锦州东,锦州东收费站,0.005517,0.001923,liaoning
公主屯,公主屯收费站,0.005557,0.002164,liaoning
牙克石西,牙克石西收费站,,,neimenggu
哈克西,哈克西收费站,,,neimenggu
凤头岭,凤头岭收费站,0.332256,1.397198,guangdong
龙湾,龙湾收费站,0.000659,0.002044,guangdong
梅林,,,,guangdong
洲石北,,,,guangdong
新墟,新墟收费站,2.898591,1.177755,guangdong
石头,,,,guangdong
水足塘,水足塘收费站,0.814065,1.285868,guangdong
白土,白土收费站,0.905053,1.656294,guangdong
罗格,,,,guangdong
巴广渝四川广安,,,,sichuan
马鬃山南,,,,gansu
海沧,海沧收费站,,,fujian
厦漳大桥,厦漳大桥收费站,,,fujian
徐墩,徐墩收费站,,,fujian
海门岛,海门岛收费站,,,fujian
寿宁犀溪,,,,fujian
台商区张坂,,,,fujian
惠东,惠东收费站,,,fujian
吴山,吴山收费站,,,fujian
新民,新民收费站,0.005263,0.00214,liaoning
章古台,章古台收费站,0.005302,0.002688,liaoning
建昌,建昌收费站,0.00561,0.001483,liaoning
绕东机场,,,,sichuan
成绵复新市,,,,sichuan
清苑,清苑收费站,0.000269,0.000298,hebei
正定,正定收费站,0.242747,0.065599,hebei
龙岗,龙岗收费站,,,guangdong
富锦东,富锦东收费站,0.007794,0.002134,heilongjiang
机场路,机场路收费站,0.006977,0.602042,heilongjiang
沭阳北,沭阳北收费站,0.006672,0.005574,jiangsu
灌南,灌南收费站,0.0019,0.000606,jiangsu
竹镇,竹镇收费站,0.000056,0.000135,jiangsu
平明,平明收费站,0.000048,0.000145,jiangsu
阳澄湖,阳澄湖收费站,0.003299,0.001614,jiangsu
黎里,黎里收费站,0.004367,0.002213,jiangsu
四桥主线,,,,jiangsu
徐州机场,徐州机场收费站,0.577238,0.171913,jiangsu
盱眙,盱眙收费站,0.007461,0.006025,jiangsu
溧芜苏皖省界,,,,jiangsu
神龙谷,,,,hunan
文山东,,,,yunnan
G15曹安公路,,,,shanghai
G1501高东,,,,shanghai
璧山,璧山收费站,0.000459,0.00008,chongqing
凯里黄平机场,凯里黄平机场收费站,,,guizhou
罗甸北,罗甸北收费站,,,guizhou
大林,大林收费站,,,neimenggu
辽河镇,,,,neimenggu
赤峰西,赤峰西收费站,,,neimenggu
赤峰东,,,,neimenggu
齐家窝铺交接,,,,neimenggu
大营子交接,,,,neimenggu
镇隆,,,,guangdong
隆街,,,,guangdong
梁村,梁村收费站,0.005448,0.002317,guangdong
海石湾,,,,gansu
洛河北,,,,henan
滑县牛屯,滑县牛屯收费站,,,henan
洛埠,洛埠收费站,0.004426,0.002982,guangxi
马山南,,,,guangxi
四塘,,,,guangxi
八鲤,八鲤收费站,0.003698,0.002933,guangxi
黄沙河,,,,guangxi
南风坳,,,,hunan
花垣西,,,,hunan
龙街,龙街收费站,0.00232,0.00595,yunnan
忠爱,忠爱收费站,0.00292,0.005447,yunnan
悦墨,,,,yunnan
通,,,,yunnan
石屏,石屏收费站,0.002516,0.005637,yunnan
西邑,,,,yunnan
蒲缥,蒲缥收费站,0.00134,0.005628,yunnan
江召法雨,,,,yunnan
大营,,,,yunnan
保山,保山收费站,0.000254,0.005135,yunnan
松茂,松茂收费站,0.003098,0.006104,yunnan
灌云北,灌云北收费站,0.006308,0.006297,jiangsu
皖S314博望,,,,anhui
黄岭,,,,guangdong
雷岭,,,,guangdong
通江,,,,sichuan
合徐高速公路淮南连接线,,,,anhui
新和,,,,guangdong
大观,大观收费站,0.007137,0.005872,chongqing
梨温路赣浙界梨园,,,,jiangxi
吉莲路永新,,,,jiangxi
昌宁路南段流坑南,,,,jiangxi
昌泰路泰和,,,,jiangxi
甘旗卡,甘旗卡收费站,,,neimenggu
乌兰浩特西,,,,neimenggu
宾亨,宾亨收费站,0.336958,0.192846,guangdong
杨梅,杨梅收费站,0.004207,0.002846,guangdong
渔湾,,,,guangdong
井坪,井坪收费站,0.001464,0.000069,gansu
陶营,,,,henan
大学南路,,,,henan
灵璧,灵璧收费站,0.004949,0.001535,anhui
亳永主线,,,,anhui
沱湖,,,,anhui
威海南海,威海南海收费站,,,shandong
济南西,济南西收费站,,,shandong
济南东,济南东收费站,,,shandong
青驼,青驼收费站,,,shandong
临沂北,临沂北收费站,,,shandong
东营北,东营北收费站,,,shandong
利津,利津收费站,,,shandong
辛庄,辛庄收费站,,,shandong
辛兴,辛兴收费站,,,shandong
海阳西,海阳西收费站,,,shandong
金郝庄,,,,shandong
遂西嘉陵七宝寺,,,,sichuan
自隆响石,,,,sichuan
泰兴北,泰兴北收费站,0.006176,0.005457,jiangsu
灌云南,灌云南收费站,0.001577,0.002226,jiangsu
鹿苑,鹿苑收费站,0.250352,0.346243,jiangsu
余粮堡,余粮堡收费站,,,neimenggu
三道井,,,,neimenggu
泗村店,,,,beijing
高丽营,高丽营收费站,0.006096,0.001562,beijing
丁各庄,丁各庄收费站,0.005888,0.001196,beijing
榆垡南,榆垡南收费站,0.015038,0.026268,beijing
会村,会村收费站,0.005123,0.001567,beijing
求贤,求贤收费站,0.006967,0.001063,beijing
南安梅山,南安梅山收费站,,,fujian
文化路,文化路收费站,,,henan
南乐,,,,henan
中原路,,,,henan
苌庄,苌庄收费站,,,henan
新阳豫皖省界,,,,henan
广武,广武收费站,,,henan
淳化南,,,,shaanxi
新桥河,,,,hunan
南信桥,,,,yunnan
临西,临西收费站,0.005979,0.000356,hebei
冀京界主线,,,,hebei
永泰梧桐,,,,fujian
安溪官桥,安溪官桥收费站,,,fujian
