"id","statName","lng","lat","prov"
"2110005472","漷县收费站","116.775390","39.816980","beijing"
"2110005474","郎府收费站","116.845060","39.800980","beijing"
"2110005476","程各庄收费站","117.155020","40.416550","beijing"
"2110005478","于家务收费站","116.697300","39.739710","beijing"
"2110005482","采育收费站","116.676950","39.659900","beijing"
"2110005484","军庄收费站","116.092640","39.994340","beijing"
"2110005486","廊坊收费站","116.774560","39.591350","beijing"
"2110005488","德仁务收费站","116.781550","39.664450","beijing"
"2110005492","永乐收费站","116.814490","39.640730","beijing"
"2110005493","高村收费站","116.839090","39.630220","beijing"
"2110005494","广宁收费站","116.121340","39.934320","beijing"
"2110005496","辛安庄收费站","116.968040","40.396680","beijing"
"2110005498","穆家峪收费站","116.897120","40.383690","beijing"
"2110005501","白庙南收费站","116.761650","39.934580","beijing"
"2110005503","白庙收费站","116.765340","39.935460","beijing"
"2110005505","薛家庄收费站","116.924480","40.063970","beijing"
"2110005509","南口收费站","116.138200","40.250250","beijing"
"2110005512","太平庄收费站","116.181820","40.258350","beijing"
"2110005513","冀京界收费站","116.285520","39.478680","beijing"
"2110005514","固安收费站","116.283150","39.454320","beijing"
"2110005516","中影杨宋收费站","116.672990","40.272760","beijing"
"2110005517","怀柔收费站","116.637650","40.270150","beijing"
"2110005522","北务收费站","116.804760","40.045650","beijing"
"2110005528","河北主线收费站","116.041050","39.550090","beijing"
"2110005532","北庄收费站","117.176180","40.494310","beijing"
"2110005534","良乡收费站","116.150770","39.699740","beijing"
"2110005536","长阳收费站","116.211440","39.697070","beijing"
"2110005540","马驹桥西收费站","116.561230","39.747340","beijing"
"2110005542","大苑村收费站","116.099520","39.765540","beijing"
"2110005544","青龙湖收费站","116.116130","39.792150","beijing"
"2110005546","次渠收费站","116.642440","39.806430","beijing"
"2110005552","千灵山收费站","116.116700","39.836470","beijing"
"2110005556","密云收费站","116.831180","40.341670","beijing"
"2110005558","八达岭长城收费站","115.987470","40.359510","beijing"
"2110005559","西拨子收费站","115.980590","40.362120","beijing"
"2110005560","康庄收费站","115.908160","40.361080","beijing"
"2110005561","营城子收费站","115.952370","40.372640","beijing"
"2110005562","杜家坎匝道收费站","116.210040","39.842960","beijing"
"2110005564","大觉寺收费站","116.117660","40.045760","beijing"
"2110005571","康庄（市界）收费站","115.893350","40.358700","beijing"
"2110005572","杜家坎收费站","116.211520","39.842070","beijing"
"2110005574","北宫森林公园收费站","116.135340","39.859460","beijing"
"2110005576","石门营收费站","116.150380","39.891740","beijing"
"2110005579","太师屯收费站","117.156270","40.565990","beijing"
"2110005582","宽沟收费站","116.578450","40.263110","beijing"
"2110005584","通顺路收费站","116.677970","40.012460","beijing"
"2110005585","沿河收费站","116.708070","40.038860","beijing"
"2110005587","李桥收费站","116.685560","40.039340","beijing"
"2110005589","顺义南环收费站","116.637070","40.080410","beijing"
"2110005592","打铁庄收费站","117.006740","40.068750","beijing"
"2110005594","南张岱收费站","117.037350","40.078320","beijing"
"2110005598","南太务收费站","117.198010","40.133640","beijing"
"2110005600","稻地收费站","117.142160","40.117430","beijing"
"2110005602","夏各庄收费站","117.202720","40.127970","beijing"
"2110005603","窦店收费站","116.078040","39.657120","beijing"
"2110005606","琉璃河收费站","116.062080","39.599780","beijing"
"2110005609","田家峪收费站","117.239100","40.085790","beijing"
"2110005612","阎村收费站","116.111400","39.722330","beijing"
"2110005615","阎村西收费站","116.092320","39.730460","beijing"
"2110005617","北臧村收费站","116.290160","39.689650","beijing"
"2110005619","念坛收费站","116.315740","39.698280","beijing"
"2110005622","窦店北收费站","116.088120","39.680480","beijing"
"2110005623","西红门南桥收费站","116.341680","39.777230","beijing"
"2110005625","高米店收费站","116.342670","39.766940","beijing"
"2110005626","大兴工业区收费站","116.343860","39.757720","beijing"
"2110005628","偏桥收费站","117.321000","40.729430","beijing"
"2110005630","金山岭收费站","117.285550","40.685140","beijing"
"2110005639","天宫院收费站","116.324830","39.671740","beijing"
"2110005641","海子角收费站","116.344410","39.718100","beijing"
"2110005643","金华寺收费站","116.344960","39.745380","beijing"
"2110005645","金鼎湖收费站","117.012490","40.393580","beijing"
"2110005647","大城子收费站","117.088440","40.390030","beijing"
"2110005650","大礼路收费站","116.324840","39.554570","beijing"
"2110005654","西红门收费站","116.347760","39.797760","beijing"
"2110005655","求贤收费站","116.295440","39.512510","beijing"
"2110005659","榆垡南收费站","116.294290","39.503660","beijing"
"2110005661","三融收费站","116.323960","39.654870","beijing"
"2110005663","庞各庄收费站","116.323780","39.638340","beijing"
"2110005665","薛营收费站","116.326440","39.610970","beijing"
"2110005667","梨花桥收费站","116.327340","39.594840","beijing"
"2110005671","北辛堡收费站","115.762580","40.438950","beijing"
"2110005673","司马台收费站","117.255700","40.630220","beijing"
"2110005678","大羊坊收费站","116.520370","39.809600","beijing"
"2110005679","莲花滩收费站","116.085440","40.385080","beijing"
"2110005680","东高村收费站","117.110260","40.098850","beijing"
"2110005682","赵庄户收费站","117.076630","40.085180","beijing"
"2110005684","马驹桥收费站","116.572810","39.751420","beijing"
"2110005685","马驹桥东收费站","116.578840","39.755560","beijing"
"2110005692","西马庄收费站","116.635970","39.917630","beijing"
"2110005693","赵辛店收费站","116.209260","39.814890","beijing"
"2110005697","机场路收费站","116.143130","39.756040","beijing"
"2110005703","京良收费站","116.159090","39.775120","beijing"
"2110005706","丁各庄收费站","116.733390","39.927580","beijing"
"2110005707","潞苑北街收费站","116.705680","39.950430","beijing"
"2110005709","徐辛庄收费站","116.710380","39.985610","beijing"
"2110005711","常屯收费站","116.711410","39.925920","beijing"
"2110005718","台湖收费站","116.597950","39.816770","beijing"
"2110005720","张家湾收费站","116.686920","39.838760","beijing"
"2110005724","土桥收费站","116.704810","39.866410","beijing"
"2110005728","小圣庙收费站","116.709840","39.885140","beijing"
"2110005730","双横路收费站","116.183910","40.163470","beijing"
"2110005732","沙阳路收费站","116.157870","40.129090","beijing"
"2110005734","温阳路收费站","116.156920","40.098100","beijing"
"2110005738","科技园收费站","116.231340","40.196360","beijing"
"2110005740","昌平南环收费站","116.227150","40.204990","beijing"
"2110005742","昌平西关收费站","116.195250","40.224960","beijing"
"2110005744","陈庄收费站","116.166370","40.233080","beijing"
"2110005746","西关收费站","116.218400","40.219940","beijing"
"2110005749","西山口收费站","116.178230","40.247180","beijing"
"2110005751","十三陵收费站","116.213020","40.235970","beijing"
"2110005753","百泉庄收费站","116.213080","40.198030","beijing"
"2110005755","北清路收费站","116.146710","40.070810","beijing"
"2110005760","双桥收费站","116.571730","39.909860","beijing"
"2110005762","会村收费站","116.595380","39.909420","beijing"
"2110005764","北京白鹿收费站","116.579690","39.867890","beijing"
"2110005766","八里桥收费站","116.618890","39.906520","beijing"
"2110005768","黄港收费站","116.481450","40.059860","beijing"
"2110005772","京承路收费站","116.474320","40.035020","beijing"
"2110005776","岗山收费站","116.614960","40.038950","beijing"
"2110005778","吴各庄收费站","116.622930","40.022020","beijing"
"2110005780","天竺２号匝道收费站","116.590350","40.053670","beijing"
"2110005781","天竺收费站","116.585370","40.048240","beijing"
"2110005782","苇沟收费站","116.548470","40.026520","beijing"
"2110005783","杨林收费站","116.576730","40.043350","beijing"
"2110005784","北皋收费站","116.520080","40.017860","beijing"
"2110005785","顺义城收费站","116.626770","40.114460","beijing"
"2110005787","上清收费站","116.353040","40.025090","beijing"
"2110005788","上清东收费站","116.359460","40.022850","beijing"
"2110005789","清河收费站","116.361150","40.012730","beijing"
"2110005790","回龙观南收费站","116.320430","40.066660","beijing"
"2110005792","清河北收费站","116.344450","40.034780","beijing"
"2110005794","西三旗收费站","116.336240","40.045370","beijing"
"2110005798","回龙观收费站","116.317250","40.069840","beijing"
"2110005800","回龙观北收费站","116.315460","40.073050","beijing"
"2110005802","上清西收费站","116.346380","40.023300","beijing"
"2110005803","天北路收费站","116.522760","40.119910","beijing"
"2110005807","火寺路收费站","116.551760","40.124530","beijing"
"2110005811","机场高速北线收费站","116.567210","40.123660","beijing"
"2110005813","张喜庄收费站","116.554870","40.145660","beijing"
"2110005817","六元桥收费站","116.599530","40.141770","beijing"
"2110005819","北石槽收费站","116.529370","40.238920","beijing"
"2110005823","赵全营收费站","116.500470","40.211100","beijing"
"2110005827","北安河收费站","116.300910","40.091020","beijing"
"2110005830","沙河收费站","116.282240","40.111380","beijing"
"2110005832","小汤山收费站","116.264410","40.138110","beijing"
"2110005837","百善收费站","116.328960","40.170980","beijing"
"2110005839","马坊收费站","116.402490","40.161460","beijing"
"2110005841","沙峪收费站","116.479970","40.094180","beijing"
"2110005845","北七家收费站","116.477490","40.118070","beijing"
"2110005847","未来科技城收费站","116.484410","40.131290","beijing"
"2110005849","高丽营收费站","116.492310","40.183170","beijing"
"2110005851","水关收费站","116.038850","40.334940","beijing"
"2110043606","榆垡收费站","116.325190","39.535180","beijing"
"2110049998","齐心庄收费站","116.944630","39.993320","beijing"
"2110050002","燕郊收费站","116.806850","40.006120","beijing"
"2110050004","三河西收费站","117.026900","40.001200","beijing"
"2110056477","孔涧收费站","115.409980","40.015330","beijing"
"2110056479","野三坡收费站","115.500100","39.637060","beijing"
"2110056481","白草畔收费站","115.420790","39.809020","beijing"
"2110056483","百里峡收费站","115.414800","39.739060","beijing"
"2110056948","密云经济开发区收费站","116.775880","40.313990","beijing"
"2110058755","沙阳收费站","116.240540","40.119200","beijing"
"2110058758","西坨收费站","116.226630","40.142840","beijing"
"2110059587","高教园区收费站","116.287900","40.175180","beijing"
"2110060414","香河东收费站","117.096700","39.792380","beijing"
"2110067844","涿州北收费站","116.044740","39.525220","beijing"
"2110068248","皇后台收费站","115.879080","39.616710","beijing"
"2110068249","长沟收费站","115.855870","39.596800","beijing"
"2110068251","涞水新城收费站","115.723970","39.501290","beijing"
"2110068253","京周路收费站","116.034710","39.705610","beijing"
"2110068254","大件路收费站","116.028940","39.723000","beijing"
"2110068255","韩村河收费站","115.925320","39.628930","beijing"
"2110068256","张坊收费站","115.754110","39.555510","beijing"
"2110068257","镇江营收费站","115.747650","39.528700","beijing"
"2110068258","襄驸马收费站","115.968260","39.623650","beijing"
"2110068260","夏村收费站","116.044880","39.682840","beijing"
"2110068266","涞水主线收费站","115.745280","39.515000","beijing"
"2110068268","坨里收费站","116.043100","39.760080","beijing"
"2110068485","廊坊空港收费站","116.521460","39.508210","beijing"
"2110074142","北京南收费站","116.037950","39.557330","beijing"
"2110074528","廊坊西收费站","116.507510","39.509190","beijing"
"2110137396","半壁店收费站","116.643390","40.025260","beijing"
"55895412","北京市燃气集团公司第二分公司营业收费所水碓子公服营业收费站","116.472290","39.924660","beijing"
"55898875","北京燃气第四分公司南苑民用收费站","116.400520","39.807990","beijing"
"5954288","北京市燃气集团公司第一分公司东城一所收费站","116.413910","39.940530","beijing"
"74758310","南苑乡有线电视用户管理中心有线电视收费站","116.401650","39.834970","beijing"
"79357139","北京首都机场动力能源有限公司销售分公司收费站","116.591090","40.046370","beijing"
"80338146","北京市燃气集团第一分公司东城二所光明桥营业收费站","116.443810","39.885680","beijing"
"80338147","北京市燃气集团有限责任公司第一分公司西城二所玉林营业收费站","116.355580","39.864530","beijing"
"80338149","北京市燃气集团有限责任公司第二分公司营业收费所幸福二村民用营业收费站","116.446700","39.939280","beijing"
"80357169","北京市燃气集团有限责任公司第四分公司营业收费一所西便门公服收费站","116.355440","39.901560","beijing"
